format,condition,curve_type,task,estimate_position,median,q25,q75,band_label
unrestricted,baseline,task_median,giraffes,0.22822822822822822,0.16517799851133183,,,
unrestricted,baseline,task_median,giraffes,0.22922922922922923,0.16524644302422078,,,
unrestricted,baseline,task_median,giraffes,0.23023023023023023,0.16531488753710977,,,
unrestricted,baseline,task_median,giraffes,0.23123123123123124,0.16538333204999872,,,
unrestricted,baseline,task_median,giraffes,0.23223223223223222,0.16545177656288768,,,
unrestricted,baseline,task_median,giraffes,0.23323323323323322,0.16552022107577663,,,
unrestricted,baseline,task_median,giraffes,0.23423423423423423,0.16558866558866558,,,
unrestricted,baseline,task_median,giraffes,0.23523523523523523,0.16565711010155454,,,
unrestricted,baseline,task_median,giraffes,0.23623623623623624,0.1657255546144435,,,
unrestricted,baseline,task_median,giraffes,0.23723723723723725,0.16579399912733245,,,
unrestricted,baseline,task_median,giraffes,0.23823823823823823,0.1658624436402214,,,
unrestricted,baseline,task_median,giraffes,0.23923923923923923,0.16593088815311036,,,
unrestricted,baseline,task_median,giraffes,0.24024024024024024,0.16599933266599934,,,
unrestricted,baseline,task_median,giraffes,0.24124124124124124,0.1660677771788883,,,
unrestricted,baseline,task_median,giraffes,0.24224224224224225,0.16613622169177725,,,
unrestricted,baseline,task_median,giraffes,0.24324324324324323,0.1662046662046662,,,
unrestricted,baseline,task_median,giraffes,0.24424424424424424,0.16627311071755516,,,
unrestricted,baseline,task_median,giraffes,0.24524524524524524,0.1663415552304441,,,
unrestricted,baseline,task_median,giraffes,0.24624624624624625,0.16640999974333306,,,
unrestricted,baseline,task_median,giraffes,0.24724724724724725,0.16647844425622202,,,
unrestricted,baseline,task_median,giraffes,0.24824824824824826,0.16654688876911097,,,
unrestricted,baseline,task_median,giraffes,0.24924924924924924,0.16661533328199993,,,
unrestricted,baseline,task_median,giraffes,0.2502502502502503,0.16667237037607407,,,
unrestricted,baseline,task_median,giraffes,0.25125125125125125,0.16669518521370372,,,
unrestricted,baseline,task_median,giraffes,0.25225225225225223,0.1667180000513334,,,
unrestricted,baseline,task_median,giraffes,0.25325325325325326,0.16674081488896303,,,
unrestricted,baseline,task_median,giraffes,0.25425425425425424,0.16676362972659267,,,
unrestricted,baseline,task_median,giraffes,0.2552552552552553,0.16678644456422234,,,
unrestricted,baseline,task_median,giraffes,0.25625625625625625,0.16680925940185198,,,
unrestricted,baseline,task_median,giraffes,0.25725725725725723,0.16683207423948163,,,
unrestricted,baseline,task_median,giraffes,0.25825825825825827,0.1668548890771113,,,
unrestricted,baseline,task_median,giraffes,0.25925925925925924,0.16687770391474094,,,
unrestricted,baseline,task_median,giraffes,0.2602602602602603,0.1669005187523706,,,
unrestricted,baseline,task_median,giraffes,0.26126126126126126,0.16692333359000025,,,
unrestricted,baseline,task_median,giraffes,0.26226226226226224,0.1669461484276299,,,
unrestricted,baseline,task_median,giraffes,0.26326326326326327,0.16696896326525956,,,
unrestricted,baseline,task_median,giraffes,0.26426426426426425,0.1669917781028892,,,
unrestricted,baseline,task_median,giraffes,0.2652652652652653,0.16701459294051885,,,
unrestricted,baseline,task_median,giraffes,0.26626626626626626,0.16703740777814852,,,
unrestricted,baseline,task_median,giraffes,0.26726726726726724,0.16706022261577816,,,
unrestricted,baseline,task_median,giraffes,0.2682682682682683,0.16708303745340783,,,
unrestricted,baseline,task_median,giraffes,0.26926926926926925,0.16710585229103747,,,
unrestricted,baseline,task_median,giraffes,0.2702702702702703,0.1671286671286671,,,
unrestricted,baseline,task_median,giraffes,0.27127127127127126,0.16715148196629678,,,
unrestricted,baseline,task_median,giraffes,0.27227227227227224,0.16717429680392643,,,
unrestricted,baseline,task_median,giraffes,0.2732732732732733,0.16719711164155607,,,
unrestricted,baseline,task_median,giraffes,0.27427427427427425,0.16721992647918574,,,
unrestricted,baseline,task_median,giraffes,0.2752752752752753,0.16724274131681538,,,
unrestricted,baseline,task_median,giraffes,0.27627627627627627,0.16726555615444502,,,
unrestricted,baseline,task_median,giraffes,0.2772772772772773,0.1672883709920747,,,
unrestricted,baseline,task_median,giraffes,0.2782782782782783,0.16731118582970433,,,
unrestricted,baseline,task_median,giraffes,0.27927927927927926,0.167334000667334,,,
unrestricted,baseline,task_median,giraffes,0.2802802802802803,0.16735681550496365,,,
unrestricted,baseline,task_median,giraffes,0.28128128128128127,0.1673796303425933,,,
unrestricted,baseline,task_median,giraffes,0.2822822822822823,0.16740244518022296,,,
unrestricted,baseline,task_median,giraffes,0.2832832832832833,0.1674252600178526,,,
unrestricted,baseline,task_median,giraffes,0.28428428428428426,0.16744807485548224,,,
unrestricted,baseline,task_median,giraffes,0.2852852852852853,0.1674708896931119,,,
unrestricted,baseline,task_median,giraffes,0.2862862862862863,0.16749370453074156,,,
unrestricted,baseline,task_median,giraffes,0.2872872872872873,0.16751651936837123,,,
unrestricted,baseline,task_median,giraffes,0.2882882882882883,0.16753933420600087,,,
unrestricted,baseline,task_median,giraffes,0.28928928928928926,0.1675621490436305,,,
unrestricted,baseline,task_median,giraffes,0.2902902902902903,0.16758496388126018,,,
unrestricted,baseline,task_median,giraffes,0.2912912912912913,0.16760777871888982,,,
unrestricted,baseline,task_median,giraffes,0.2922922922922923,0.16763059355651946,,,
unrestricted,baseline,task_median,giraffes,0.2932932932932933,0.16765340839414913,,,
unrestricted,baseline,task_median,giraffes,0.29429429429429427,0.16767622323177878,,,
unrestricted,baseline,task_median,giraffes,0.2952952952952953,0.16769903806940845,,,
unrestricted,baseline,task_median,giraffes,0.2962962962962963,0.1677218529070381,,,
unrestricted,baseline,task_median,giraffes,0.2972972972972973,0.16774466774466773,,,
unrestricted,baseline,task_median,giraffes,0.2982982982982983,0.1677674825822974,,,
unrestricted,baseline,task_median,giraffes,0.29929929929929927,0.16779029741992704,,,
unrestricted,baseline,task_median,giraffes,0.3003003003003003,0.16781311225755668,,,
unrestricted,baseline,task_median,giraffes,0.3013013013013013,0.16783592709518635,,,
unrestricted,baseline,task_median,giraffes,0.3023023023023023,0.167858741932816,,,
unrestricted,baseline,task_median,giraffes,0.3033033033033033,0.16788155677044567,,,
unrestricted,baseline,task_median,giraffes,0.30430430430430433,0.1679043716080753,,,
unrestricted,baseline,task_median,giraffes,0.3053053053053053,0.16792718644570495,,,
unrestricted,baseline,task_median,giraffes,0.3063063063063063,0.16795000128333462,,,
unrestricted,baseline,task_median,giraffes,0.3073073073073073,0.16797281612096426,,,
