format,condition,curve_type,task,estimate_position,median,q25,q75,band_label
unrestricted,baseline,task_median,giraffes,0.1881881881881882,-0.013726061818930806,,,
unrestricted,baseline,task_median,giraffes,0.1891891891891892,-0.013697968921849518,,,
unrestricted,baseline,task_median,giraffes,0.19019019019019018,-0.01366987602476823,,,
unrestricted,baseline,task_median,giraffes,0.19119119119119118,-0.013641783127686942,,,
unrestricted,baseline,task_median,giraffes,0.1921921921921922,-0.013613690230605654,,,
unrestricted,baseline,task_median,giraffes,0.1931931931931932,-0.013585597333524366,,,
unrestricted,baseline,task_median,giraffes,0.1941941941941942,-0.013557504436443078,,,
unrestricted,baseline,task_median,giraffes,0.19519519519519518,-0.01352941153936179,,,
unrestricted,baseline,task_median,giraffes,0.1961961961961962,-0.013501318642280501,,,
unrestricted,baseline,task_median,giraffes,0.1971971971971972,-0.013473225745199213,,,
unrestricted,baseline,task_median,giraffes,0.1981981981981982,-0.013445132848117922,,,
unrestricted,baseline,task_median,giraffes,0.1991991991991992,-0.013417039951036634,,,
unrestricted,baseline,task_median,giraffes,0.20020020020020018,-0.013385116204353354,,,
unrestricted,baseline,task_median,giraffes,0.2012012012012012,-0.013337869059262096,,,
unrestricted,baseline,task_median,giraffes,0.2022022022022022,-0.013290621914170837,,,
unrestricted,baseline,task_median,giraffes,0.2032032032032032,-0.013243374769079578,,,
unrestricted,baseline,task_median,giraffes,0.2042042042042042,-0.01319612762398832,,,
unrestricted,baseline,task_median,giraffes,0.20520520520520522,-0.013148880478897063,,,
unrestricted,baseline,task_median,giraffes,0.2062062062062062,-0.013101633333805804,,,
unrestricted,baseline,task_median,giraffes,0.2072072072072072,-0.013054386188714545,,,
unrestricted,baseline,task_median,giraffes,0.2082082082082082,-0.013007139043623286,,,
unrestricted,baseline,task_median,giraffes,0.2092092092092092,-0.012959891898532033,,,
unrestricted,baseline,task_median,giraffes,0.21021021021021022,-0.012912644753440774,,,
unrestricted,baseline,task_median,giraffes,0.2112112112112112,-0.012865397608349515,,,
unrestricted,baseline,task_median,giraffes,0.2122122122122122,-0.012818150463258257,,,
unrestricted,baseline,task_median,giraffes,0.2132132132132132,-0.012770903318166998,,,
unrestricted,baseline,task_median,giraffes,0.21421421421421422,-0.012723656173075741,,,
unrestricted,baseline,task_median,giraffes,0.21521521521521522,-0.012676409027984482,,,
unrestricted,baseline,task_median,giraffes,0.21621621621621623,-0.012629161882893224,,,
unrestricted,baseline,task_median,giraffes,0.2172172172172172,-0.012581914737801968,,,
unrestricted,baseline,task_median,giraffes,0.2182182182182182,-0.012534667592710711,,,
unrestricted,baseline,task_median,giraffes,0.21921921921921922,-0.012487420447619453,,,
unrestricted,baseline,task_median,giraffes,0.22022022022022023,-0.012440173302528194,,,
unrestricted,baseline,task_median,giraffes,0.22122122122122123,-0.012392926157436935,,,
unrestricted,baseline,task_median,giraffes,0.2222222222222222,-0.012345679012345678,,,
unrestricted,baseline,task_median,giraffes,0.22322322322322322,-0.012298431867254423,,,
